"Study","Sex","Sample size","Mean Age (in days)","Minimum age (in days)","Maximum age (in days)"
"NSPN","Female",152,7264.4,5427.3,9693.3
"NSPN","Male",153,7267.4,5624.5,9390.2
"NTB_Yale","Female",27,480.9,392.6,909.7
"NTB_Yale","Male",33,474.5,389.5,885.4
"OASIS3","Female",310,24279.4,15705.5,34698.3
"OASIS3","Male",215,24795.9,15340.3,32506.8
"OHSU_ADHD","Female",115,3861,2917,5122.9
"OHSU_ADHD","Male",107,3811.2,2877,5088.9
"OpenPain_BN1","Female",14,15819,7940.1,25106.7
"OpenPain_BN1","Male",25,13857.1,8305.4,25106.7
"OpenPain_BN2","Female",11,17436.5,12688.3,22915.2
"OpenPain_BN2","Male",6,14758.1,7574.9,22184.7
"OpenPain_PLOA","Female",10,21454.2,18532.2,22915.2
"OpenPain_PLOA","Male",10,21381.2,17801.8,28759.1
"OpenPain_RS","Female",14,18401.8,7940.1,23645.7
"OpenPain_RS","Male",19,18378.5,11592.6,22184.7
"OpenPain_SAB","Female",9,14474,10862.1,19628
"OpenPain_SAB","Male",11,12655.1,10131.6,17071.3
"Oslo","Female",164,18278.4,7574.9,31315.8
"Oslo","Male",116,18941.6,7574.9,34237.8
"Oulu","Female",65,8153.7,7574.9,8305.4
"Oulu","Male",37,8088.2,7574.9,8670.6
"PCDC","Female",27,492.5,346.9,698.9
"PCDC","Male",25,450.2,311.9,767.6
"PING","Female",364,4817.5,1437,7945
"PING","Male",404,4715.3,1437,7945
"Pixar","Female",84,4170.5,1569,12698.3
"Pixar","Male",71,4093.5,1565,14524.6
"PNC","Female",610,5592.7,3262.1,8675
"PNC","Male",722,5778.7,3229.2,8704.2
"POND","Female",45,5012.4,1215,8103.9
"POND","Male",51,4304,1641,8189.9
"PPMI","Female",41,21666.2,11322.6,29920.9
"PPMI","Male",64,22085.6,11384.7,29676.2
"PREVENTAD","Female",271,23326.3,20364.8,30705.6
"PREVENTAD","Male",110,23530.5,20334.4,29609.4
"Psyscan_Dublin","Female",82,12132.6,7219.7,23655.7
"Psyscan_Dublin","Male",72,11886.7,6854.4,21829.5
"RDB","Female",80,7783.5,1329.2,20431.5
"RDB","Male",87,5664.7,1219.6,19956.7
"SALD","Female",296,16516.1,7219.7,28769.1
"SALD","Male",177,17071,7584.9,29499.6
"SCZIowa","Female",42,12878.9,7186.2,21832.7
"SCZIowa","Male",65,10360.5,6607.6,17295.6
"SLIM","Female",389,7735.1,6854.4,10141.6
"SLIM","Male",350,7734.1,6489.2,9776.4
"STRIVE","Female",30,9010.7,7457.1,12519.4
"SWU_MDD","Female",133,14978.7,7209.7,23280.4
"SWU_MDD","Male",67,14029.4,7209.7,23645.7
"SYS_Adolescents","Female",525,5609.1,4297.7,7219.7
"SYS_Adolescents","Male",488,5551.4,4297.7,6854.4
"SYS_Adults","Female",324,17743.9,13573.5,21878.2
"SYS_Adults","Male",278,18872,14486.1,23307.9
"TOPSY","Female",12,8183.6,6113.9,10131.6
"TOPSY","Male",17,8133.5,6113.9,10496.9
"UCSD","Female",132,1095.9,645.4,1802.5
"UCSD","Male",128,1267,615,6857.2
"UKB","Female",14412,23369.3,17081.3,29864.8
"UKB","Male",14619,23814,16350.8,29864.8
"VETSA","Male",543,20785.3,18934,22268.7
"VITA","Female",27,27930.4,27673.4,28769.1
"VITA","Male",25,27951,27673.4,28769.1
"WAYNE","Female",133,19204.1,6854.4,28769.1
"WAYNE","Male",65,19053.6,6854.4,28403.9
