Group 1,Group 2,Sample size G1,Sample size G2,Median centile G1,Median centile G2,P uncorrected,Cohens D lower CI,Cohens D upper CI,Cohens D,Mean group difference,P corrected (BH-FDR),Sex,Median group difference
ABNORMAL VENTRICAL,BD,73,111,0.442,0.442,0.78752,0.336,-0.259,0.038,0.011,0.9598,Female,-0.001
ABNORMAL VENTRICAL,Chronic Pain,73,63,0.442,0.413,0.27297,0.525,-0.156,0.184,0.056,0.4335,Female,0.029
ABNORMAL VENTRICAL,EMCI,73,139,0.442,0.479,0.67533,0.228,-0.342,-0.057,-0.016,0.8729,Female,-0.037
ABNORMAL VENTRICAL,LMCI,73,216,0.442,0.394,0.08739,0.493,-0.041,0.226,0.064,0.1667,Female,0.048
ABNORMAL VENTRICAL,MCI,73,253,0.442,0.406,0.28277,0.403,-0.12,0.142,0.045,0.4471,Female,0.036
ABNORMAL VENTRICAL,MCI-Risk,73,0,0.442,  NA,1, NaN, NaN, NaN, NaN,1,Female,  NA
ABNORMAL VENTRICAL,MDD,73,3461,0.442,0.485,0.83292,0.206,-0.258,-0.026,-0.007,0.992,Female,-0.043
ABNORMAL VENTRICAL,ND,73,100,0.442,0.205,0.0002,0.956,0.333,0.645,0.185,0.0009,Female,0.237
ABNORMAL VENTRICAL,OCD,73,74,0.442,0.486,0.87311,0.3,-0.352,-0.026,-0.007,1,Female,-0.044
ABNORMAL VENTRICAL,Other,73,117,0.442,0.476,0.92831,0.279,-0.309,-0.015,-0.004,1,Female,-0.035
ABNORMAL VENTRICAL,OTHER,73,56,0.442,0.289,0.0034,0.89,0.175,0.533,0.16,0.0103,Female,0.153
ABNORMAL VENTRICAL,Other Psychiatric,73,111,0.442,0.403,0.28637,0.454,-0.141,0.156,0.044,0.4507,Female,0.038
ABNORMAL VENTRICAL,PD,73,67,0.442,0.601,0.05579,0.007,-0.667,-0.33,-0.093,0.1173,Female,-0.16
ABNORMAL VENTRICAL,SAD,73,150,0.442,0.444,0.75212,0.326,-0.237,0.044,0.012,0.9296,Female,-0.003
ABNORMAL VENTRICAL,Schizoaffective Disorder,73,53,0.442,0.316,0.0036,0.886,0.16,0.523,0.149,0.0106,Female,0.126
ABNORMAL VENTRICAL,SCZ,73,315,0.442,0.297,0.0022,0.666,0.152,0.409,0.121,0.0074,Female,0.144
